255,255,255
254,255,255
255,254,255
255,255,254
254,255,254
254,254,255
255,254,254
254,254,254
253,254,254
254,253,254
254,254,253
253,254,253
254,253,253
253,253,254
253,253,253
253,253,252
253,252,253
252,253,253
252,252,253
253,252,252
252,253,252
252,252,252
252,252,251
252,251,252
251,252,252
251,251,252
252,251,251
251,251,251
251,251,250
251,250,251
250,251,251
250,250,251
250,251,250
251,250,250
250,250,250
250,250,249
250,249,250
249,250,250
249,249,250
249,250,249
250,249,249
249,249,249
249,249,248
249,248,249
248,249,249
248,248,249
248,249,248
249,248,248
248,248,248
247,248,248
248,247,248
248,248,247
247,248,247
247,247,248
248,247,247
247,247,247
247,247,246
247,246,247
246,247,247
247,246,246
246,247,246
246,246,247
246,246,246
246,246,245
246,245,246
245,246,246
245,245,246
245,246,245
246,245,245
245,245,245
245,245,244
245,244,245
244,245,245
244,244,245
244,244,245
244,245,244
245,244,244
244,244,244
244,244,243
244,243,244
243,244,244
243,243,244
243,244,243
244,243,243
243,243,243
243,243,242
242,243,243
242,242,243
242,243,242
243,242,242
242,242,242
242,242,241
242,241,242
241,242,242
241,241,242
241,242,241
242,241,241
241,241,241
241,241,240
241,240,241
240,241,241
240,240,241
240,241,240
241,240,240
240,240,240
240,240,239
240,239,240
